name,city,address,rating,reviews_count,cuisine,price_range,tripadvisor_url
"(1,469 reviews)",(1,(1,,1469,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d32976128-Reviews-The_Banc_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS
"(1,079 reviews)",(1,(1,,1079,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d8740254-Reviews-Sallet_Al_Sayad_Seafood_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS
"(5,045 reviews)",(5,(5,,5045,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d15325425-Reviews-Hurricane_s_Grill_Dubai_Mall-Dubai_Emirate_of_Dubai.html#REVIEWS
"(1,656 reviews)",(1,(1,,1656,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d23007236-Reviews-Al_Khayma_Heritage_Restaurant_Cafe-Dubai_Emirate_of_Dubai.html#REVIEWS
"(5,335 reviews)",(5,(5,,5335,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d1122401-Reviews-Pai_Thai-Dubai_Emirate_of_Dubai.html#REVIEWS
(172 reviews),Dubai,,,172,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d25263033-Reviews-Mogiya_Authentic_Japanese_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS
"(2,710 reviews)",(2,(2,,2710,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d13455740-Reviews-The_Grill_Shack-Dubai_Emirate_of_Dubai.html#REVIEWS
"(1,600 reviews)",(1,(1,,1600,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d26997931-Reviews-Brass_Monkey_City_Walk-Dubai_Emirate_of_Dubai.html#REVIEWS
"(2,256 reviews)",(2,(2,,2256,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d23140994-Reviews-Orange_Chameleon_Restaurant_and_Lounge-Dubai_Emirate_of_Dubai.html#REVIEWS
"(3,014 reviews)",(3,(3,,3014,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d26969519-Reviews-Doors_Dubai_Mall-Dubai_Emirate_of_Dubai.html#REVIEWS
"(2,699 reviews)",(2,(2,,2699,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d9858600-Reviews-Nikki_Beach_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS
(607 reviews),Dubai,,,607,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d17728145-Reviews-Bull_Bear_DIFC-Dubai_Emirate_of_Dubai.html#REVIEWS
"(1,540 reviews)",(1,(1,,1540,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d25316862-Reviews-Bebek_Restaurant_Lounge-Dubai_Emirate_of_Dubai.html#REVIEWS
(384 reviews),Dubai,,,384,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d33320602-Reviews-OCCO_Restaurant_Business_Bay-Dubai_Emirate_of_Dubai.html#REVIEWS
(669 reviews),Dubai,,,669,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d27686640-Reviews-OCCO_Restaurant-Dubai_Emirate_of_Dubai.html#REVIEWS
(662 reviews),Dubai,,,662,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d15325604-Reviews-Kitchen_Connection-Dubai_Emirate_of_Dubai.html#REVIEWS
"(2,992 reviews)",(2,(2,,2992,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d3920870-Reviews-The_Meat_Co-Dubai_Emirate_of_Dubai.html#REVIEWS
(911 reviews),Dubai,,,911,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d23817537-Reviews-Al_Nafoorah_Jumeirah_Al_Qasr-Dubai_Emirate_of_Dubai.html#REVIEWS
"(1,509 reviews)",(1,(1,,1509,,,https://www.tripadvisor.com/Restaurant_Review-g295424-d25379496-Reviews-CLAW_BBQ_The_Palm-Dubai_Emirate_of_Dubai.html#REVIEWS
